origin,destination,hour,trips,mean_trip_seconds
1,1,0,151.0,332.3
1,1,1,111.0,289.4
1,1,2,92.0,258.8
1,1,3,49.0,273.1
1,1,4,55.0,435.9
1,1,5,20.0,252.7
1,1,6,72.0,314.5
1,1,7,149.0,400.6
1,1,8,286.0,375.0
1,1,9,176.0,424.4
1,1,10,147.0,346.2
1,1,11,145.0,358.8
1,1,12,135.0,339.1
1,1,13,139.0,342.2
1,1,14,143.0,375.2
1,1,15,234.0,529.7
1,1,16,197.0,404.0
1,1,17,188.0,453.4
1,1,18,181.0,424.1
1,1,19,206.0,337.4
1,1,20,199.0,330.4
1,1,21,228.0,332.0
1,1,22,221.0,390.1
1,1,23,259.0,288.9
1,2,0,14.0,489.8
1,2,1,48.0,417.7
1,2,2,30.0,392.3
1,2,3,23.0,455.6
1,2,4,21.0,402.2
1,2,5,24.0,344.1
1,3,0,32.0,732.2
1,3,1,22.0,723.6
1,3,2,18.0,631.3
1,3,3,19.0,603.2
1,3,4,29.0,635.6
1,3,5,16.0,699.4
1,3,6,36.0,787.2
1,3,7,37.0,1043.1
1,3,8,71.0,1045.3
1,3,9,98.0,953.4
1,3,10,71.0,872.5
1,3,11,66.0,931.7
1,3,12,53.0,880.9
1,3,13,51.0,899.8
1,3,14,58.0,905.7
1,3,15,52.0,1038.9
1,3,16,78.0,1078.7
1,3,17,75.0,1104.9
1,3,18,90.0,1052.1
1,3,19,107.0,811.8
1,3,20,66.0,769.8
1,3,21,81.0,734.0
1,3,22,93.0,742.2
1,3,23,81.0,747.1
1,4,1,7.0,626.4
1,4,2,7.0,960.1
1,4,3,6.0,639.8
1,4,4,5.0,543.0
1,5,1,3.0,804.7
1,5,2,1.0,671.0
1,5,3,2.0,1049.0
1,5,4,2.0,1214.5
1,5,5,4.0,1376.0
1,6,0,62.0,906.1
1,6,1,24.0,975.8
1,6,2,16.0,876.5
1,6,3,20.0,792.9
1,6,4,15.0,808.0
1,6,5,9.0,859.4
1,6,6,49.0,1012.0
1,6,7,70.0,1679.5
1,6,8,60.0,1451.5
1,6,9,100.0,1335.9
1,6,10,75.0,1215.7
1,6,11,56.0,1168.9
1,6,12,59.0,1138.7
1,6,13,75.0,1189.1
1,6,14,60.0,1231.5
1,6,15,61.0,1374.3
1,6,16,56.0,1511.0
1,6,17,79.0,1463.6
1,6,18,114.0,1374.0
1,6,19,123.0,1161.6
1,6,20,116.0,1063.9
1,6,21,123.0,1033.0
1,6,22,132.0,963.6
1,6,23,119.0,954.0
1,7,0,20.0,1078.2
1,7,1,4.0,1257.5
1,7,2,3.0,1236.7
1,7,3,3.0,1018.3
1,7,4,8.0,1056.8
1,7,5,7.0,1114.1
1,7,6,44.0,1171.9
1,7,7,15.0,1859.3
1,7,8,22.0,1731.5
1,7,9,45.0,1642.4
1,7,10,54.0,1410.7
1,7,11,52.0,1316.5
1,7,12,37.0,1412.6
1,7,13,31.0,1430.3
1,7,14,25.0,1541.8
1,7,15,18.0,1450.3
1,7,16,9.0,1591.1
1,7,17,23.0,1580.1
1,7,18,27.0,1538.6
1,7,19,19.0,1286.6
1,7,20,22.0,1381.0
1,7,21,20.0,1141.2
1,7,22,46.0,1092.1
1,7,23,52.0,1118.2
1,8,0,24.0,1167.0
1,8,1,20.0,1283.4
1,8,2,12.0,1135.2
1,8,3,17.0,1156.6
1,8,4,24.0,1073.8
1,8,5,67.0,1144.5
1,8,6,145.0,1332.3
1,8,7,170.0,2570.2
1,8,8,142.0,2376.6
1,8,9,187.0,1734.6
1,8,10,210.0,1495.4
1,8,11,139.0,1412.0
1,8,12,121.0,1414.2
1,8,13,112.0,1363.9
1,8,14,127.0,1496.7
1,8,15,104.0,1663.4
1,8,16,93.0,1836.9
1,8,17,86.0,1838.0
1,8,18,112.0,1659.2
